App Name,Play Store Reviews,Play Store Downloads,Play Store Rating,App Store Reviews,App Store Rating,Usage,Agg Rating,Agg Reviews,Selection Criteria
Floryday: Women Fashion Store,14322,1000000,4.5,1100,4.5,FIN,4.5,15422,0.627149604
eXtra,23366,1000000,3.8,5,2,KSA,2.9,23371,0.612481863
Codibook - Fashion & Style to Buy,13583,1000000,4.5,347,4.7,AUS,4.6,13930,0.579064429
Trade Me,14363,1000000,3.7,72,4.6,NZL,4.15,14435,0.541355838
FINN.no,13377,1000000,4.2,15,3.9,NOR,4.05,13392,0.490138033
AlMart,1435,500000,3.9,8405,4.4,KSA,4.15,9840,0.369029542
Coolblue,7995,500000,4.5,181,4.8,BEL,4.65,8176,0.343567263
SaraMart -Free shipping,6627,1000000,4.1,318,4.6,BEL,4.35,6945,0.273010561
Strawberrynet Beauty Shopping,5571,100000,4,107,3.6,ESP,3.8,5678,0.194983079
The Warehouse - New Zealand,3973,100000,4.1,122,4.7,NZL,4.4,4095,0.162826288
GrabOne,1199,100000,4.4,1200,4.6,NZL,4.5,2399,0.097557509
The Dubai Mall,2111,500000,4.5,30,4.4,SG,4.45,2141,0.086098308
Shgardi,1677,100000,3.8,187,3.2,KSA,3.5,1864,0.058956527
Xtra,1530,500000,4.1,149,3.3,BEL,3.7,1679,0.056139735
Ardene,1232,100000,4.5,119,4.6,CAN,4.55,1351,0.05555008
Zada,593,100000,3.2,404,3.4,FIN,3.3,997,0.029732199
Mytheresa – Luxury Fashion,510,100000,3.2,339,4.4,ESP,3.8,849,0.029154744
Fortress,613,100000,2.9,,,HK,1.45,613,0.00803242
